| BỘ TÀI CHÍNH   | CỘNG HÒA XÃ HỘI CHỦ NGHĨA VIỆT NAM Độc lập - Tự do - Hạnh phúc  |

|----------------|-----------------------------------------------------------------|

| Số: 149/QĐ-BTC | Hà Nội,ngày 24 tháng 01 năm 2017                                |

BỘ TÀI CHÍNH -------

CỘNG HÒA XÃ HỘI CHỦ NGHĨA VIỆT NAM Độc lập - Tự do - Hạnh phúc ---------------

Số: 149/QĐ-BTC

Hà Nội,ngày 24 tháng 01 năm 2017

QUYẾT ĐỊNH

SỬA ĐỔI, BỔ SUNG DANH MỤC BẢNG GIÁ TÍNH LỆ PHÍ TRƯỚC BẠ Ô TÔ, XE MÁY BAN HÀNH KÈM THEO THÔNG TƯ SỐ 304/2016/TT-BTC NGÀY 15/11/2016 CỦA BỘ TRƯỞNG BỘ TÀI CHÍNH

BỘ TRƯỞNG BỘ TÀI CHÍNH

Căn cứ Nghị định số 140/2016/NĐ-CP ngày 10/10/2016 của Chính phủ quy định về lệ phí trước bạ;

Căn cứ Nghị định số 215/2013/NĐ-CP ngày 23/12/2013 của Chính phủ quy định chức năng, nhiệm vụ, quyền hạn và cơ cấu tổ chức của Bộ Tài chính;

Căn cứ Thông tư số 301/2016/TT-BTC ngày 15/11/2016 của Bộ trưởng Bộ Tài chính hướng dẫn về lệ phí trước bạ;

Căn cứ Thông tư số 304/2016/TT-BTC ngày 15/11/2016 của Bộ trưởng Bộ Tài chính ban hành Bảng giá tính lệ phí trước bạ đối với ô tô, xe máy;

Xét đề nghị của Tổng cục trưởng Tổng cục Thuế,

QUYẾT ĐỊNH:

Điều 1. Sửa đổi, bổ sung Danh mục Bảng giá tính lệ phí trước bạ ô tô, xe máy ban hành kèm theo Thông tư số 304/2016/TT-BTC ngày 15/11/2016 của Bộ trưởng Bộ Tài chính tại Phụ lục số I, Phụ lục số II và Phụ lục số III (đính kèm).

Điều 2. Quyết định này có hiệu lực kể từ ngày ký.

Điều 3. Cục Thuế các tỉnh, thành phố trực thuộc Trung ương, các Chi cục thuế quận, huyện, thị xã trực thuộc Cục Thuế và các tổ chức, cá nhân có liên quan chịu trách nhiệm thi hành Quyết định này./.

| Nơi nhận: - Văn phòng Trung ương và các Ban của Đảng; - Văn phòng Quốc hội; - Văn phòng Chủ tịch nước; - Văn phòng Tổng Bí thư; - Viện Kiểm sát nhân dân tối cao; - Văn phòng BCĐ phòng chống tham nhũng Trung ương; - Tòa án nhân dân tối cao; - Kiểm toán nhà nước; - Các Bộ, cơ quan ngang Bộ, cơ quan thuộc Chính phủ; - Cơ quan Trung ương của các đoàn thể; - Hội đồng nhân dân, Ủy ban nhân dân, Sở Tài chính, Cục Thuế, Kho bạc nhà nước các tỉnh, thành phố trực thuộc Trung ương; - Công báo; - Cục Kiểm tra văn bản (Bộ Tư pháp); - Website (Bộ Tài chính; Tổng cục Thuế); - Các đơn vị thuộc Bộ Tài chính; - Lưu: VT, TCT (VT, CS). | KT. BỘ TRƯỞNG THỨ TRƯỞNG Đỗ Hoàng Anh Tuấn |

|-------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------|--------------------------------------------|

Nơi nhận: - Văn phòng Trung ương và các Ban của Đảng; - Văn phòng Quốc hội; - Văn phòng Chủ tịch nước; - Văn phòng Tổng Bí thư; - Viện Kiểm sát nhân dân tối cao; - Văn phòng BCĐ phòng chống tham nhũng Trung ương; - Tòa án nhân dân tối cao; - Kiểm toán nhà nước; - Các Bộ, cơ quan ngang Bộ, cơ quan thuộc Chính phủ; - Cơ quan Trung ương của các đoàn thể; - Hội đồng nhân dân, Ủy ban nhân dân, Sở Tài chính, Cục Thuế, Kho bạc nhà nước các tỉnh, thành phố trực thuộc Trung ương; - Công báo; - Cục Kiểm tra văn bản (Bộ Tư pháp); - Website (Bộ Tài chính; Tổng cục Thuế); - Các đơn vị thuộc Bộ Tài chính; - Lưu: VT, TCT (VT, CS).

KT. BỘ TRƯỞNG THỨ TRƯỞNG Đỗ Hoàng Anh Tuấn

PHỤ LỤC I

BỔ SUNG GIÁ TÍNH LỆ PHÍ TRƯỚC BẠ Ô TÔ, XE MÁY (Kèm theo Quyết định số 149/QĐ-BTC ngày 24 tháng 01 năm 2017 của Bộ trưởng Bộ Tài chính)

I. Ô tô 9 chỗ ngồi trở xuống nhập khẩu.

| STT | Nhãn Hiệu       | Số loại/Tên thương mại         | Thể tích làm việc (lít) | Số chỗ ngồi | Giá tính LPTB (đơn vị VNĐ) |

|-----|-----------------|--------------------------------|-------------------------|-------------|----------------------------|

| 1   | BMW             | X1 SDRIVER 18i                 | 1.5                     | 5           | 1,546,000,000              |

| 2   | CHEVROLET       | SPARK                          | 1.0                     | 2           | 285,000,000                |

| 3   | CHEVROLET       | TRAX LT                        | 1.4                     | 5           | 759.000.000                |

| 4   | DAEWOO          | DAMAS                          | 0.8                     | 2           | 188,000,000                |

| 5   | FORD            | EVEREST TITANIUM ZAAE9HD       | 3.2                     | 7           | 1,936,000,000              |

| 6   | FORD            | EVEREST TITANIUM ZFAE9BC0005   | 2.2                     | 7           | 1,329,000,000              |

| 7   | FORD            | EVEREST TITANTUM ZAAE9FC       | 2.2                     | 7           | 1,329,000,000              |

| 8   | FORD            | EVEREST TITANIUM ZFAE9BC       | 2.2                     | 7           | 1,329,000,000              |

| 9   | FORD            | EVEREST ZAAJ9FC                | 2.2                     | 7           | 1,249,000,000              |

| 10  | FORD            | EVEREST ZAAJ9FC0003            | 2.2                     | 7           | 1,249,000,000              |

| 11  | FORD            | EVEREST ZFAJ9BC                | 2.2                     | 7           | 1,249,000,000              |

| 12  | FORD            | EVEREST ZFAJ9BC0002            | 2.2                     | 7           | 1,249,000,000              |

| 13  | FORD            | EXPLORER LIMITED AWD K8F       | 2.3                     | 7           | 2,180,000,000              |

| 14  | FORD            | FORD EVEREST                   | 2.2                     | 5           | 1,159,400,000              |

| 15  | FORD            | RANGER                         | 2.2                     | 5           | 619,000,000                |

| 16  | FORD            | RANGER IFBX9D6                 | 2.2                     | 5           | 619,000,000                |

| 17  | FORD            | RANGER IFBX9D60004             | 2.2                     | 5           | 619,000,000                |

| 18  | FORD            | RANGER IXBX9D6                 | 2.2                     | 5           | 619,000,000                |

| 19  | FORD            | RANGER IXBX9D60001             | 2.2                     | 5           | 619,000,000                |

| 20  | FORD            | RANGER WILDTRAK IFBW9AR0001    | 2.2                     | 5           | 830,000,000                |

| 21  | FORD            | RANGER WILDTRAK IFBW9B4        | 3.2                     | 5           | 918,000,000                |

| 22  | FORD            | RANGER WILDTRAK IFBW9B40003    | 3.2                     | 5           | 918,000,000                |

| 23  | FORD            | RANGER WILDTRAK IXBW94R        | 2.2                     | 5           | 830,000,000                |

| 24  | FORD            | RANGER WILDTRAK IXBW94R0001    | 2.2                     | 5           | 830,000,000                |

| 25  | FORD            | RANGER WILDTRAK IXBW9G4        | 3.2                     | 5           | 918,000,000                |

| 26  | FORD            | RANGER WILDTRAK IXBW9G40001    | 3.2                     | 5           | 918,000,000                |

| 27  | FORD            | RANGER WILDTRAK, IFBW9AR       | 2.2                     | 5           | 830,000,000                |

| 28  | FORD            | RANGER XLS IFBS9AR             | 2.2                     | 5           | 685,000,000                |

| 29  | FORD            | RANGER XLS IFBS9AR0001         | 2.2                     | 5           | 685,000,000                |

| 30  | FORD            | RANGER XLS IFBS9AR0002         | 2.2                     | 5           | 685,000,000                |

| 31  | FORD            | RANGER XLS IFBS9AR0003         | 2.2                     | 5           | 685,000,000                |

| 32  | FORD            | RANGER XLS IFBS9DH             | 2.2                     | 5           | 659,000,000                |

| 33  | FORD            | RANGER XLS IFBS9DH0001         | 2.2                     | 5           | 659,000,000                |

| 34  | FORD            | RANGER XLS IXBS94R             | 2.2                     | 5           | 685,000,000                |

| 35  | FORD            | RANGER XLS IXBS94R0001         | 2.2                     | 5           | 685,000,000                |

| 36  | FORD            | RANGER XLS IXBS9DH             | 2.2                     | 5           | 659,000,000                |

| 37  | FORD            | RANGER XLS IXBS9DH0001         | 2.2                     | 5           | 659,000,000                |

| 38  | FORD            | RANGER XLT IFBT9A6             | 2.2                     | 5           | 790,000,000                |

| 39  | FORD            | RANGER XLT IFBT9A60001         | 2.2                     | 5           | 790,000,000                |

| 40  | FORD            | RANGER XLT IXBT946             | 2.2                     | 5           | 790,000,000                |

| 41  | FORD            | RANGER XLT IXBT9460001         | 2.2                     | 5           | 790,000,000                |

| 42  | GENESIS         | G90                            | 3.8                     | 5           | 3,300,000,000              |

| 43  | GENESIS         | G91                            | 5.0                     | 5           | 3,950,000,000              |

| 44  | HONDA           | ACCORD 2.4S AT                 | 2.4                     | 5           | 1,390,000,000              |

| 45  | HONDA           | CIVIC 15TOP                    | 1.5                     | 5           | 950,000,000                |

| 46  | HYUNDAI         | ACCENT BLUE (số sàn)           | 1.4                     | 5           | 519,800,000                |

| 47  | HYUNDAI         | CRETA (máy xăng)               | 1.6                     | 5           | 767,000,000                |

